cellnumber,    x-coordinate,    y-coordinate,    z-coordinate,      x-velocity,      y-velocity,concentration-c2h5oh
       763, 2.101109505E+00, 4.101802349E+00, 5.000000000E-01,-5.522777140E-02, 5.534768105E-01, 2.554059233E-22
       764, 3.905870914E+00, 5.693141460E+00, 5.000000000E-01,-1.531915516E-01, 5.910453200E-01, 2.554059486E-22
       765, 3.705335140E+00, 5.501586437E+00, 5.000000000E-01,-1.392627060E-01, 5.862694383E-01, 2.554059738E-22
       766, 3.505259514E+00, 5.302260876E+00, 5.000000000E-01,-1.257766038E-01, 5.813025236E-01, 2.089660680E-18
       767, 3.304312229E+00, 5.102799416E+00, 5.000000000E-01,-1.130198017E-01, 5.764061809E-01, 1.103493679E-18
       768, 3.102862358E+00, 4.902926445E+00, 5.000000000E-01,-1.010097265E-01, 5.715375543E-01, 1.377262570E-19
       769, 2.901966572E+00, 4.703006268E+00, 5.000000000E-01,-8.976294100E-02, 5.667301416E-01, 2.554059486E-22
       770, 2.701285124E+00, 4.502790928E+00, 5.000000000E-01,-7.925197482E-02, 5.619815588E-01, 2.554059486E-22
       771, 2.500682831E+00, 4.302672386E+00, 5.000000000E-01,-6.946059316E-02, 5.573055148E-01, 2.554059991E-22
       772, 2.300724506E+00, 4.102303982E+00, 5.000000000E-01,-6.037364155E-02, 5.527085066E-01, 2.554059233E-22
       773, 1.300681829E+00, 4.700858593E+00, 5.000000000E-01,-4.057371244E-02, 5.739448071E-01, 2.554059486E-22
       774, 1.501109123E+00, 4.500984669E+00, 5.000000000E-01,-4.436580837E-02, 5.670337081E-01, 2.554059486E-22
       775, 1.100746393E+00, 4.900624752E+00, 5.000000000E-01,-3.613517433E-02, 5.811760426E-01, 2.554059233E-22
       776, 1.701280355E+00, 4.301168442E+00, 5.000000000E-01,-4.751228541E-02, 5.604399443E-01, 2.554059486E-22
       777, 3.903854609E+00, 5.493949890E+00, 5.000000000E-01,-1.460266709E-01, 5.835675597E-01, 2.554059486E-22
       778, 4.112289429E+00, 5.677124023E+00, 5.000000000E-01,-1.600673050E-01, 5.876693726E-01, 2.554059486E-22
       779, 3.706420898E+00, 5.299616337E+00, 5.000000000E-01,-1.325421035E-01, 5.790066719E-01, 2.554059486E-22
       780, 3.507164955E+00, 5.101062775E+00, 5.000000000E-01,-1.195749119E-01, 5.743673444E-01, 6.224043617E-20
       781, 3.305925608E+00, 4.902133465E+00, 5.000000000E-01,-1.072970554E-01, 5.697705150E-01, 1.290470205E-18
       782, 3.104603767E+00, 4.702547073E+00, 5.000000000E-01,-9.576448053E-02, 5.652237535E-01, 2.554059486E-22
       783, 2.903617620E+00, 4.502613068E+00, 5.000000000E-01,-8.496831357E-02, 5.607094765E-01, 2.554059486E-22
       784, 2.701918840E+00, 4.302742481E+00, 5.000000000E-01,-7.486717403E-02, 5.562421083E-01, 2.554059486E-22
       785, 2.500923157E+00, 4.102589607E+00, 5.000000000E-01,-6.548389047E-02, 5.518305898E-01, 2.554059486E-22
       786, 1.300478697E+00, 4.500913143E+00, 5.000000000E-01,-3.840518743E-02, 5.676178336E-01, 2.554059486E-22
       787, 1.099998474E+00, 4.700747490E+00, 5.000000000E-01,-3.424003720E-02, 5.744984150E-01, 2.554059486E-22
       788, 1.501076221E+00, 4.300997734E+00, 5.000000000E-01,-4.192619771E-02, 5.610524416E-01, 2.554059486E-22
       789, 3.903330326E+00, 5.290386677E+00, 5.000000000E-01,-1.387960613E-01, 5.763054490E-01, 2.554059486E-22
       790, 4.099487782E+00, 5.473262787E+00, 5.000000000E-01,-1.522245407E-01, 5.803844929E-01, 2.554059486E-22
       791, 3.709378958E+00, 5.096023083E+00, 5.000000000E-01,-1.259104908E-01, 5.720384717E-01, 2.554059233E-22
       792, 3.510242224E+00, 4.899314404E+00, 5.000000000E-01,-1.134913266E-01, 5.677698255E-01, 2.007893049E-18
       793, 3.309203386E+00, 4.701004028E+00, 5.000000000E-01,-1.017146036E-01, 5.634986162E-01, 6.045827425E-19
       794, 3.108116150E+00, 4.501820564E+00, 5.000000000E-01,-9.065719694E-02, 5.592396855E-01, 2.554059486E-22
       795, 2.905881405E+00, 4.302106857E+00, 5.000000000E-01,-8.027750254E-02, 5.550051928E-01, 2.554059486E-22
       796, 2.703764439E+00, 4.102379322E+00, 5.000000000E-01,-7.059952617E-02, 5.508146286E-01, 2.554059486E-22
       797, 2.502859592E+00, 3.902066231E+00, 5.000000000E-01,-6.162671000E-02, 5.466639400E-01, 2.554059233E-22
       798, 1.300691962E+00, 4.300872803E+00, 5.000000000E-01,-3.629431501E-02, 5.616092682E-01, 2.554059486E-22
       799, 1.099320650E+00, 4.500928879E+00, 5.000000000E-01,-3.239185736E-02, 5.681540370E-01, 2.554059486E-22
       800, 4.090079308E+00, 5.269482613E+00, 5.000000000E-01,-1.440455765E-01, 5.731745362E-01, 2.554059486E-22
       801, 3.908054113E+00, 5.085597515E+00, 5.000000000E-01,-1.317825168E-01, 5.693926811E-01, 2.554058981E-22
       802, 4.248159885E+00, 5.413248062E+00, 5.000000000E-01,-1.547694802E-01, 5.760686398E-01, 2.554059486E-22
       803, 3.714486122E+00, 4.892949104E+00, 5.000000000E-01,-1.194389611E-01, 5.654626489E-01, 2.554059486E-22
