nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,      x-velocity,      y-velocity,concentration-c2h5oh
        68, 1.339907837E+01, 0.000000000E+00, 5.000000000E-01, 0.000000000E+00, 0.000000000E+00, 2.554058981E-22
        69, 1.359910679E+01, 0.000000000E+00, 5.000000000E-01, 0.000000000E+00, 0.000000000E+00, 2.554058981E-22
        70, 1.379939079E+01, 0.000000000E+00, 5.000000000E-01, 0.000000000E+00, 0.000000000E+00, 2.554058981E-22
        71, 1.399951839E+01, 0.000000000E+00, 5.000000000E-01, 0.000000000E+00, 0.000000000E+00, 2.554059233E-22
        72, 1.419945812E+01, 0.000000000E+00, 5.000000000E-01, 0.000000000E+00, 0.000000000E+00, 2.554058981E-22
        73, 1.439950466E+01, 0.000000000E+00, 5.000000000E-01, 0.000000000E+00, 0.000000000E+00, 2.554058981E-22
        74, 1.459980011E+01, 0.000000000E+00, 5.000000000E-01, 0.000000000E+00, 0.000000000E+00, 1.751962075E-19
        75, 1.480005741E+01, 0.000000000E+00, 5.000000000E-01, 0.000000000E+00, 0.000000000E+00, 1.718732162E-19
        76, 1.500000000E+01, 0.000000000E+00, 5.000000000E-01, 0.000000000E+00, 0.000000000E+00, 2.554058981E-22
        77, 1.299719238E+01, 1.952015758E-01, 4.999999702E-01,-5.159646273E-01,-1.191279385E-03, 1.832543584E-14
        78, 3.997859061E-01, 1.958870441E-01, 5.000000000E-01, 2.828102931E-02, 3.580563702E-03, 1.048430659E-05
        79, 1.319799805E+01, 1.960647404E-01, 5.000000000E-01,-5.149636269E-01,-2.019125503E-03, 2.571920677E-15
        80, 6.007517576E-01, 1.961683929E-01, 5.000000000E-01, 3.520144150E-02, 5.961577408E-03, 1.232207160E-05
        81, 8.012610674E-01, 1.965492964E-01, 5.000000000E-01, 3.873830661E-02, 8.972955868E-03, 1.487200279E-05
        82, 1.279766464E+01, 1.966185421E-01, 5.000000000E-01,-5.163171291E-01,-4.137121432E-04, 7.966542736E-14
        83, 1.001430988E+00, 1.970392168E-01, 4.999999702E-01, 3.927904367E-02, 1.340649556E-02, 1.888086808E-05
        84, 1.339850044E+01, 1.971158534E-01, 5.000000000E-01,-5.131989717E-01,-2.728814725E-03, 2.065032841E-16
        85, 1.379952240E+01, 1.977691501E-01, 5.000000000E-01,-5.083518028E-01,-3.370193997E-03, 7.065320189E-17
        86, 1.201285839E+00, 1.977961361E-01, 5.000000000E-01, 3.387400880E-02, 2.123935707E-02, 1.894874003E-05
        87, 1.359894943E+01, 1.978731900E-01, 5.000000000E-01,-5.108929873E-01,-3.196062986E-03, 1.262370259E-16
        88, 1.460014057E+01, 1.979312152E-01, 5.000000000E-01,-5.007771254E-01,-1.461511943E-03, 8.860139629E-20
        89, 1.439960670E+01, 1.980865300E-01, 5.000000000E-01,-5.019457340E-01,-2.199827693E-03, 3.459532779E-18
        90, 1.399962139E+01, 1.985829473E-01, 5.000000000E-01,-5.058929920E-01,-3.260364523E-03, 4.416235565E-17
        91, 1.419960308E+01, 1.988668889E-01, 5.000000000E-01,-5.036976337E-01,-2.844233066E-03, 3.493273062E-18
        92, 1.985449791E-01, 1.989953369E-01, 5.000000000E-01, 1.717588864E-02, 1.935903449E-03, 9.085551937E-06
        93, 1.400625229E+00, 1.990249157E-01, 5.000000000E-01, 1.935528964E-02, 3.036505356E-02, 1.250330479E-05
        94, 1.480096054E+01, 1.990274042E-01, 5.000000000E-01,-5.001313686E-01,-7.726904005E-04, 8.380225593E-20
        95, 1.259845924E+01, 1.992491335E-01, 5.000000000E-01,-5.160849690E-01, 2.495376975E-04, 3.152653106E-13
        96, 1.500000000E+01, 1.996635646E-01, 5.000000000E-01,-5.000000000E-01, 0.000000000E+00, 7.246636319E-22
        97, 1.239883137E+01, 2.001316100E-01, 5.000000000E-01,-5.151901245E-01, 7.662940188E-04, 7.746742700E-13
        98, 1.601020813E+00, 2.003905773E-01, 5.000000000E-01,-3.433788195E-03, 3.382351995E-02, 9.385370504E-06
        99, 0.000000000E+00, 2.006063759E-01, 5.000000000E-01, 0.000000000E+00, 0.000000000E+00, 8.461552170E-06
       100, 1.800657749E+00, 2.014395148E-01, 4.999999702E-01,-2.912662178E-02, 2.825076878E-02, 1.343576878E-05
       101, 1.219949627E+01, 2.016010731E-01, 4.999999702E-01,-5.140162706E-01, 1.118343673E-03, 2.389951952E-12
