cellnumber,    x-coordinate,    y-coordinate,    z-coordinate,      x-velocity,      y-velocity,concentration-c2h5oh
       102, 1.008945847E+01, 8.699063301E+00, 5.000000000E-01,-1.271220744E-01, 4.629710317E-02, 9.178133041E-05
       103, 8.301113129E+00, 1.049254227E+01, 5.000000000E-01,-1.112280935E-01, 2.039588094E-01, 4.447827232E-04
       104, 8.101243019E+00, 1.069101524E+01, 5.000000000E-01,-9.255515039E-02, 2.372417152E-01, 4.426870437E-04
       105, 1.069076157E+01, 8.899034500E+00, 5.000000000E-01,-1.236441880E-01, 2.540672384E-02, 6.581799244E-05
       106, 1.049034023E+01, 8.699035645E+00, 5.000000000E-01,-1.228701845E-01, 3.360074013E-02, 6.710754678E-05
       107, 1.028991890E+01, 8.499037743E+00, 5.000000000E-01,-1.212493479E-01, 4.173033684E-02, 6.804892473E-05
       108, 7.901090622E+00, 1.089093781E+01, 5.000000000E-01,-7.148309052E-02, 2.703911960E-01, 4.280456633E-04
       109, 9.098262787E+00, 9.492654800E+00, 5.000000000E-01,-1.444242895E-01, 9.512414783E-02, 2.667702502E-04
       110, 9.294266701E+00, 9.296652794E+00, 5.000000000E-01,-1.425342113E-01, 8.074018359E-02, 2.187138452E-04
       111, 8.900119781E+00, 9.691308975E+00, 5.000000000E-01,-1.435866952E-01, 1.135616750E-01, 3.162782814E-04
       112, 8.701097488E+00, 9.892172813E+00, 5.000000000E-01,-1.389963776E-01, 1.364023089E-01, 3.615828464E-04
       113, 8.501124382E+00, 1.009525013E+01, 5.000000000E-01,-1.300752312E-01, 1.634765267E-01, 3.967508674E-04
       114, 9.489048958E+00, 9.098891258E+00, 5.000000000E-01,-1.388198137E-01, 6.963741034E-02, 1.750350057E-04
       115, 9.688108444E+00, 8.899378777E+00, 5.000000000E-01,-1.340311915E-01, 6.076036021E-02, 1.369761449E-04
       116, 9.888916969E+00, 8.699143410E+00, 5.000000000E-01,-1.286502331E-01, 5.370087177E-02, 1.051131621E-04
       117, 8.300725937E+00, 1.029479790E+01, 5.000000000E-01,-1.169627160E-01, 1.937192231E-01, 4.168635060E-04
       118, 1.008948612E+01, 8.499046326E+00, 5.000000000E-01,-1.230002418E-01, 4.809850082E-02, 7.928255945E-05
       119, 8.100955009E+00, 1.049244118E+01, 5.000000000E-01,-1.003667340E-01, 2.256231904E-01, 4.218080721E-04
       120, 7.901212692E+00, 1.069040966E+01, 5.000000000E-01,-8.101531118E-02, 2.579474151E-01, 4.136068455E-04
       121, 1.069076347E+01, 8.699035645E+00, 5.000000000E-01,-1.202940866E-01, 2.825060301E-02, 5.611409870E-05
       122, 1.049034023E+01, 8.499036789E+00, 5.000000000E-01,-1.191768721E-01, 3.598239273E-02, 5.757985127E-05
       123, 1.028991890E+01, 8.299039841E+00, 5.000000000E-01,-1.172893420E-01, 4.362635687E-02, 5.882416008E-05
       124, 8.898969650E+00, 9.492167473E+00, 5.000000000E-01,-1.414673626E-01, 1.103744954E-01, 2.797512570E-04
       125, 9.096434593E+00, 9.293674469E+00, 5.000000000E-01,-1.411096752E-01, 9.369365126E-02, 2.338632185E-04
       126, 9.291528702E+00, 9.097381592E+00, 5.000000000E-01,-1.385421008E-01, 8.061260730E-02, 1.907416154E-04
       127, 8.700511932E+00, 9.693407059E+00, 5.000000000E-01,-1.386658847E-01, 1.310945898E-01, 3.242174571E-04
       128, 8.500840187E+00, 9.896739006E+00, 5.000000000E-01,-1.319057494E-01, 1.559741646E-01, 3.617758048E-04
       129, 8.300354004E+00, 1.009733868E+01, 5.000000000E-01,-1.210267022E-01, 1.842895448E-01, 3.870798100E-04
       130, 9.488044739E+00, 8.899152756E+00, 5.000000000E-01,-1.345348358E-01, 7.023229450E-02, 1.521061495E-04
       131, 9.688287735E+00, 8.699301720E+00, 5.000000000E-01,-1.296786964E-01, 6.184303015E-02, 1.188015667E-04
       132, 9.889011383E+00, 8.499089241E+00, 5.000000000E-01,-1.243612543E-01, 5.510925129E-02, 9.112843691E-05
       133, 8.100317001E+00, 1.029430294E+01, 5.000000000E-01,-1.065143198E-01, 2.147039920E-01, 3.981995396E-04
       134, 1.008949661E+01, 8.299041748E+00, 5.000000000E-01,-1.188484430E-01, 4.969295859E-02, 6.877218402E-05
       135, 7.900996685E+00, 1.049087715E+01, 5.000000000E-01,-8.903616667E-02, 2.459364086E-01, 3.963079944E-04
       136, 7.701194763E+00, 1.069054699E+01, 5.000000000E-01,-6.922487915E-02, 2.769332826E-01, 3.837257100E-04
       137, 1.089118385E+01, 8.699035645E+00, 5.000000000E-01,-1.175142527E-01, 2.352390252E-02, 4.617969535E-05
       138, 1.069076347E+01, 8.499036789E+00, 5.000000000E-01,-1.168507338E-01, 3.082984686E-02, 4.799611270E-05
       139, 1.049034023E+01, 8.299039841E+00, 5.000000000E-01,-1.154345199E-01, 3.812198341E-02, 4.961200830E-05
       140, 1.028991890E+01, 8.099040985E+00, 5.000000000E-01,-1.133186966E-01, 4.530864954E-02, 5.110275015E-05
       141, 8.897689819E+00, 9.292848587E+00, 5.000000000E-01,-1.385825872E-01, 1.076451465E-01, 2.468486200E-04
       142, 8.699520111E+00, 9.494592667E+00, 5.000000000E-01,-1.372199953E-01, 1.265006959E-01, 2.893053170E-04
       143, 9.093523026E+00, 9.095046997E+00, 5.000000000E-01,-1.373267174E-01, 9.254671633E-02, 2.050939802E-04
       144, 9.289116859E+00, 8.898089409E+00, 5.000000000E-01,-1.342980713E-01, 8.051457256E-02, 1.666545431E-04
       145, 8.500312805E+00, 9.697571754E+00, 5.000000000E-01,-1.323629320E-01, 1.492673606E-01, 3.275265335E-04
       146, 8.300067902E+00, 9.898960114E+00, 5.000000000E-01,-1.235979050E-01, 1.755793542E-01, 3.564206418E-04
       147, 8.099594116E+00, 1.009602451E+01, 5.000000000E-01,-1.111470982E-01, 2.043702155E-01, 3.727386356E-04
       148, 9.487668991E+00, 8.699488640E+00, 5.000000000E-01,-1.301271915E-01, 7.074061036E-02, 1.325600460E-04
       149, 9.688463211E+00, 8.499201775E+00, 5.000000000E-01,-1.252636015E-01, 6.278256327E-02, 1.033907174E-04
       150, 9.889059067E+00, 8.299055099E+00, 5.000000000E-01,-1.200488806E-01, 5.634028465E-02, 7.933472079E-05
       151, 7.900704384E+00, 1.029174614E+01, 5.000000000E-01,-9.561315179E-02, 2.343307137E-01, 3.767226299E-04
       152, 1.008949757E+01, 8.099040985E+00, 5.000000000E-01,-1.146956459E-01, 5.109348148E-02, 5.995143874E-05
       153, 7.701326370E+00, 1.049010372E+01, 5.000000000E-01,-7.745119929E-02, 2.645947039E-01, 3.697805514E-04
       154, 7.501087189E+00, 1.069066906E+01, 5.000000000E-01,-5.736966059E-02, 2.940771878E-01, 3.536221047E-04
       155, 1.089118481E+01, 8.499036789E+00, 5.000000000E-01,-1.143370494E-01, 2.624382824E-02, 3.938379086E-05
       156, 1.069076347E+01, 8.299039841E+00, 5.000000000E-01,-1.133465245E-01, 3.315794095E-02, 4.122947576E-05
       157, 1.049034023E+01, 8.099040985E+00, 5.000000000E-01,-1.116703078E-01, 4.003357887E-02, 4.296260886E-05
       158, 1.028991890E+01, 7.899042606E+00, 5.000000000E-01,-1.093616411E-01, 4.679262638E-02, 4.465808524E-05
       159, 8.895369530E+00, 9.093696594E+00, 5.000000000E-01,-1.351135075E-01, 1.054005101E-01, 2.178088471E-04
       160, 8.698614120E+00, 9.295547485E+00, 5.000000000E-01,-1.348893195E-01, 1.225226447E-01, 2.573885140E-04
       161, 8.499629021E+00, 9.498596191E+00, 5.000000000E-01,-1.316288859E-01, 1.433830857E-01, 2.949924674E-04
       162, 9.090463638E+00, 8.896563530E+00, 5.000000000E-01,-1.332245767E-01, 9.161107987E-02, 1.802154147E-04
       163, 9.287622452E+00, 8.699249268E+00, 5.000000000E-01,-1.299029291E-01, 8.037199825E-02, 1.459798077E-04
       164, 8.299674988E+00, 9.699748993E+00, 5.000000000E-01,-1.247869730E-01, 1.676816493E-01, 3.258006764E-04
       165, 8.099266052E+00, 9.897357941E+00, 5.000000000E-01,-1.143370345E-01, 1.947146654E-01, 3.462896275E-04
       166, 7.900009155E+00, 1.009264565E+01, 5.000000000E-01,-1.007105485E-01, 2.233278155E-01, 3.553318384E-04
       167, 9.487863541E+00, 8.499384880E+00, 5.000000000E-01,-1.256371737E-01, 7.113377750E-02, 1.158482846E-04
       168, 9.688582420E+00, 8.299109459E+00, 5.000000000E-01,-1.208279729E-01, 6.358417869E-02, 9.036344272E-05
       169, 9.889073372E+00, 8.099042892E+00, 5.000000000E-01,-1.157432869E-01, 5.740424991E-02, 6.941401807E-05
       170, 7.701404095E+00, 1.028974247E+01, 5.000000000E-01,-8.432999998E-02, 2.526036799E-01, 3.537357843E-04
       171, 1.008949757E+01, 7.899042606E+00, 5.000000000E-01,-1.105668768E-01, 5.231462792E-02, 5.256834993E-05
       172, 7.501192570E+00, 1.049021721E+01, 5.000000000E-01,-6.564743072E-02, 2.816968262E-01, 3.426146577E-04
       173, 1.089118481E+01, 8.299039841E+00, 5.000000000E-01,-1.110857353E-01, 2.870789170E-02, 3.373893196E-05
       174, 1.069076347E+01, 8.099040985E+00, 5.000000000E-01,-1.098076999E-01, 3.524823859E-02, 3.560055848E-05
       175, 1.049034023E+01, 7.899042130E+00, 5.000000000E-01,-1.079074964E-01, 4.173252359E-02, 3.742940316E-05
       176, 1.028991890E+01, 7.699045181E+00, 5.000000000E-01,-1.054363027E-01, 4.809256643E-02, 3.928689330E-05
       177, 8.892531395E+00, 8.895276070E+00, 5.000000000E-01,-1.312548369E-01, 1.034840941E-01, 1.924967946E-04
       178, 8.697101593E+00, 9.096279144E+00, 5.000000000E-01,-1.318790317E-01, 1.190913767E-01, 2.287400421E-04
       179, 8.498944283E+00, 9.299737930E+00, 5.000000000E-01,-1.299553216E-01, 1.381478608E-01, 2.647997753E-04
       180, 8.299266815E+00, 9.500411034E+00, 5.000000000E-01,-1.247940063E-01, 1.605355144E-01, 2.962291474E-04
       181, 9.088358879E+00, 8.698055267E+00, 5.000000000E-01,-1.289254725E-01, 9.073928744E-02, 1.587506413E-04
       182, 9.287286758E+00, 8.499588966E+00, 5.000000000E-01,-1.254106015E-01, 8.017025888E-02, 1.282458834E-04
       183, 8.099392891E+00, 9.698072433E+00, 5.000000000E-01,-1.162187606E-01, 1.857470572E-01, 3.195399477E-04
       184, 7.899590492E+00, 9.893646240E+00, 5.000000000E-01,-1.044192463E-01, 2.129567266E-01, 3.328065795E-04
       185, 7.701199055E+00, 1.008998108E+01, 5.000000000E-01,-8.981737494E-02, 2.411426157E-01, 3.360453702E-04
       186, 9.488052368E+00, 8.299233437E+00, 5.000000000E-01,-1.211234257E-01, 7.143745571E-02, 1.016777678E-04
       187, 9.688637733E+00, 8.099058151E+00, 5.000000000E-01,-1.164041981E-01, 6.425396353E-02, 7.937339251E-05
       188, 9.889076233E+00, 7.899042606E+00, 5.000000000E-01,-1.114703491E-01, 5.831342563E-02, 6.108915841E-05
       189, 7.501290321E+00, 1.028980446E+01, 5.000000000E-01,-7.271172851E-02, 2.695743442E-01, 3.297906951E-04
       190, 1.008949757E+01, 7.699045181E+00, 5.000000000E-01,-1.064809114E-01, 5.336983874E-02, 4.639753752E-05
       191, 1.089118481E+01, 8.099040985E+00, 5.000000000E-01,-1.077857986E-01, 3.092850745E-02, 2.905879046E-05
       192, 1.069076347E+01, 7.899042130E+00, 5.000000000E-01,-1.062564179E-01, 3.711567819E-02, 3.093121995E-05
