cellnumber,    x-coordinate,    y-coordinate,    z-coordinate,      x-velocity,      y-velocity,concentration-c2h5oh
       584, 1.003733253E+01, 1.489902687E+01, 5.000000000E-01, 3.597337604E-01, 4.052900672E-01, 1.655735957E-07
       585, 9.421745300E+00, 1.429791260E+01, 5.000000000E-01, 3.494731188E-01, 3.784399331E-01, 5.230863209E-08
       586, 9.211391449E+00, 1.409311581E+01, 5.000000000E-01, 3.466950059E-01, 3.724363148E-01, 3.480839794E-08
       587, 8.991701126E+00, 1.388767433E+01, 5.000000000E-01, 3.443318903E-01, 3.674780130E-01, 2.239191765E-08
       588, 8.760311127E+00, 1.367958832E+01, 5.000000000E-01, 3.423344195E-01, 3.633753359E-01, 1.378397396E-08
       589, 8.510876656E+00, 1.345809174E+01, 5.000000000E-01, 3.406888247E-01, 3.601390421E-01, 7.980463401E-09
       590, 9.424804688E+00, 1.449931049E+01, 5.000000000E-01, 3.558537960E-01, 3.814477026E-01, 4.092538930E-08
       591, 9.630252838E+00, 1.469941521E+01, 5.000000000E-01, 3.595738113E-01, 3.891651630E-01, 6.055778101E-08
       592, 9.834890366E+00, 1.489939976E+01, 5.000000000E-01, 3.642516136E-01, 3.992681205E-01, 8.646178884E-08
       593, 9.217997551E+00, 1.429618263E+01, 5.000000000E-01, 3.523647189E-01, 3.750405610E-01, 2.771301233E-08
       594, 9.004471779E+00, 1.409137154E+01, 5.000000000E-01, 3.492412269E-01, 3.697465956E-01, 1.832123075E-08
       595, 8.780382156E+00, 1.388679981E+01, 5.000000000E-01, 3.466214538E-01, 3.654713929E-01, 1.168467989E-08
       596, 8.541381836E+00, 1.368070126E+01, 5.000000000E-01, 3.444606364E-01, 3.619850576E-01, 7.053701623E-09
       597, 9.221652985E+00, 1.449865723E+01, 5.000000000E-01, 3.584889174E-01, 3.773196936E-01, 2.156370726E-08
       598, 9.427120209E+00, 1.469984436E+01, 5.000000000E-01, 3.627591431E-01, 3.842861354E-01, 3.164766582E-08
